Site_Name,Domain,Category,Sub_Category,Batch_Source  
Six Flags,sixflags.com,Entertainment,Theme Park,New_Batch_5PDFs  
Cedar Point,cedarpoint.com,Entertainment,Theme Park,New_Batch_5PDFs  
Knott's Berry Farm,knotts.com,Entertainment,Theme Park,New_Batch_5PDFs  
Kings Island,visitkingsisland.com,Entertainment,Theme Park,New_Batch_5PDFs  
Hersheypark,hersheypark.com,Entertainment,Theme Park,New_Batch_5PDFs  
Dollywood,dollywood.com,Entertainment,Theme Park,New_Batch_5PDFs  
Silver Dollar City,silverdollarcity.com,Entertainment,Theme Park,New_Batch_5PDFs  
Holiday World & Splashin' Safari,holidayworld.com,Entertainment,Theme Park,New_Batch_5PDFs  
Kennywood,kennywood.com,Entertainment,Theme Park,New_Batch_5PDFs  
SeaWorld,seaworld.com,Entertainment,Theme Park,New_Batch_5PDFs  
Busch Gardens,buschgardens.com,Entertainment,Theme Park,New_Batch_5PDFs  
Legoland,legoland.com,Entertainment,Theme Park,New_Batch_5PDFs  
Knoebels Amusement Resort,knoebels.com,Entertainment,Theme Park,New_Batch_5PDFs  
Santa Cruz Beach Boardwalk,beachboardwalk.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Urban Air Adventure Park,urbanair.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Sky Zone Trampoline Park,skyzone.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Altitude Trampoline Park,altitudetrampolinepark.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Defy Extreme Air Sports,defy.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Rockin' Jump,rockinjump.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Flight Adventure Park,flightadventurepark.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
iFLY Indoor Skydiving,iflyworld.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Ninja Nation,ninjanation.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Bouldering Project,boulderingproject.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Brooklyn Boulders,brooklynboulders.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Planet Obstacle,planetobstacle.com,Entertainment,Active Entertainment,New_Batch_5PDFs  
Pinstack,pinstackbowl.com,Entertainment,FEC,New_Batch_5PDFs  
Main Event Entertainment,mainevent.com,Entertainment,FEC,New_Batch_5PDFs  
Bowlero,bowlero.com,Entertainment,FEC,New_Batch_5PDFs  
Round1 Bowling & Amusement,round1usa.com,Entertainment,FEC,New_Batch_5PDFs  
Andretti Indoor Karting,andrettikarting.com,Entertainment,FEC,New_Batch_5PDFs  
K1 Speed,k1speed.com,Entertainment,FEC,New_Batch_5PDFs  
Autobahn Indoor Speedway,autobahnspeed.com,Entertainment,FEC,New_Batch_5PDFs  
Stars and Strikes,starsandstrikes.com,Entertainment,FEC,New_Batch_5PDFs  
Apex Entertainment,apexentertainment.com,Entertainment,FEC,New_Batch_5PDFs  
Scene75 Entertainment Center,scene75.com,Entertainment,FEC,New_Batch_5PDFs  
John's Incredible Pizza Co.,johnspizza.com,Entertainment,FEC,New_Batch_5PDFs  
Pin-Up Bowl,pinupbowl.com,Entertainment,FEC,New_Batch_5PDFs  
Kings Dining & Entertainment,kings-de.com,Entertainment,FEC,New_Batch_5PDFs  
Splitsville Luxury Lanes,splitsvillelanes.com,Entertainment,FEC,New_Batch_5PDFs  
Xtreme Action Park,xtremeactionpark.com,Entertainment,FEC,New_Batch_5PDFs  
Topgolf,topgolf.com,Entertainment,Eatertainment,New_Batch_5PDFs  
Drive Shack,driveshack.com,Entertainment,Eatertainment,New_Batch_5PDFs  
Puttshack,puttshack.com,Entertainment,Eatertainment,New_Batch_5PDFs  
PopStroke,popstroke.com,Entertainment,Eatertainment,New_Batch_5PDFs  
Chicken N Pickle,chickennpickle.com,Entertainment,Eatertainment,New_Batch_5PDFs  
Smash Park,smashpark.com,Entertainment,Eatertainment,New_Batch_5PDFs  
Flight Club Darts,flightclubdartsusa.com,Entertainment,Eatertainment,New_Batch_5PDFs  
Five Iron Golf,fiveirongolf.com,Entertainment,Eatertainment,New_Batch_5PDFs  
The Painted Pin,thepaintedpin.com,Entertainment,Eatertainment,New_Batch_5PDFs  
The Escape Game,theescapegame.com,Entertainment,Escape Room,New_Batch_5PDFs  
Escape the Room,escapetheroom.com,Entertainment,Escape Room,New_Batch_5PDFs  
Breakout Games,breakoutgames.com,Entertainment,Escape Room,New_Batch_5PDFs  
PanIQ Escape Room,paniqescaperoom.com,Entertainment,Escape Room,New_Batch_5PDFs  
Escapology,escapology.com,Entertainment,Escape Room,New_Batch_5PDFs  
Meow Wolf,meowwolf.com,Entertainment,Experiential,New_Batch_5PDFs  
Color Factory,colorfactory.co,Entertainment,Experiential,New_Batch_5PDFs  
Museum of Ice Cream,museumoficecream.com,Entertainment,Experiential,New_Batch_5PDFs  
Illuminarium,illuminarium.com,Entertainment,Experiential,New_Batch_5PDFs  
Area15,area15.com,Entertainment,Experiential,New_Batch_5PDFs  
Great Wolf Lodge,greatwolf.com,Entertainment,Indoor Water Park,New_Batch_5PDFs  
Kalahari Resorts,kalahariresorts.com,Entertainment,Indoor Water Park,New_Batch_5PDFs  
Schlitterbahn Waterparks,schlitterbahn.com,Entertainment,Indoor Water Park,New_Batch_5PDFs  
Hawaiian Falls Waterparks,hfalls.com,Entertainment,Indoor Water Park,New_Batch_5PDFs  
Camelback Resort,camelbackresort.com,Entertainment,Indoor Water Park,New_Batch_5PDFs  
SoundWaves at Gaylord Opryland,soundwavesgo.com,Entertainment,Indoor Water Park,New_Batch_5PDFs  
Kikoff,kikoff.com,Fintech,Credit Builder,New_Batch_5PDFs  
Extra,extra.app,Fintech,Credit Builder,New_Batch_5PDFs  
StellarFi,stellarfi.com,Fintech,Credit Builder,New_Batch_5PDFs  
Cushion,cushion.ai,Fintech,Credit Builder,New_Batch_5PDFs  
Cleo,meetcleo.com,Fintech,Fintech App,New_Batch_5PDFs  
Brigit,hellobrigit.com,Fintech,Fintech App,New_Batch_5PDFs  
Dave,dave.com,Fintech,Fintech App,New_Batch_5PDFs  
FloatMe,floatme.com,Fintech,Fintech App,New_Batch_5PDFs  
Empower,empower.me,Fintech,Fintech App,New_Batch_5PDFs  
Klover,joinklover.com,Fintech,Fintech App,New_Batch_5PDFs  
Albert,albert.com,Fintech,Fintech App,New_Batch_5PDFs  
Varo Bank,varomoney.com,Fintech,Neobank,New_Batch_5PDFs  
Current,current.com,Fintech,Neobank,New_Batch_5PDFs  
Aspiration,aspiration.com,Fintech,Neobank,New_Batch_5PDFs  
MoneyLion,moneylion.com,Fintech,Neobank,New_Batch_5PDFs  
Zolve,zolve.com,Fintech,Neobank,New_Batch_5PDFs  
CreditGenie,creditgenie.com,Fintech,Credit Builder,New_Batch_5PDFs  
Altro,altro.app,Fintech,Credit Builder,New_Batch_5PDFs  
Atlas,atlasfin.com,Fintech,Credit Builder,New_Batch_5PDFs  
Possible Finance,possiblefinance.com,Fintech,Fintech App,New_Batch_5PDFs  
Solo Funds,solofunds.com,Fintech,Fintech App,New_Batch_5PDFs  
Chime,chime.com,Fintech,Neobank,New_Batch_5PDFs  
Step,step.com,Fintech,Neobank,New_Batch_5PDFs  
L.L. Bean,llbean.com,Retail,Catalog,New_Batch_5PDFs  
Lands' End,landsend.com,Retail,Catalog,New_Batch_5PDFs  
Oriental Trading,orientaltrading.com,Retail,Catalog,New_Batch_5PDFs  
Uline,uline.com,Retail,Catalog,New_Batch_5PDFs  
Grainger,grainger.com,Retail,Catalog,New_Batch_5PDFs  
McMaster-Carr,mcmaster.com,Retail,Catalog,New_Batch_5PDFs  
IKEA Family,ikea.com,Retail,Loyalty Program,New_Batch_5PDFs  
PINCHme,pinchme.com,Retail,Free Samples,New_Batch_5PDFs  
BzzAgent,bzzagent.com,Retail,Product Testing,New_Batch_5PDFs  
Influenster,influenster.com,Retail,Product Testing,New_Batch_5PDFs  
Smiley360,smiley360.com,Retail,Product Testing,New_Batch_5PDFs  
Brooks Brothers,brooksbrothers.com,Retail,Catalog,New_Batch_5PDFs  
Orvis,orvis.com,Retail,Catalog,New_Batch_5PDFs  
Duluth Trading,duluthtrading.com,Retail,Catalog,New_Batch_5PDFs  
Hammacher Schlemmer,hammacher.com,Retail,Catalog,New_Batch_5PDFs  
Sharper Image,sharperimage.com,Retail,Catalog,New_Batch_5PDFs  
Crate & Barrel,crateandbarrel.com,Retail,Home Goods,New_Batch_5PDFs  
Williams Sonoma,williams-sonoma.com,Retail,Home Goods,New_Batch_5PDFs  
Pottery Barn,potterybarn.com,Retail,Home Goods,New_Batch_5PDFs  
