THE PILOT'S SON — REBUILD PROVENANCE AUDIT
==============================================================================

Every visible string in the rebuilt site, checked against your original source
at refs/pilotsson/index.html. A line is marked YOURS only if its words actually
occur in your file. Matching is mechanical: >=60% of a line's three-word runs
must appear in your source. Short fragments and proper nouns can land either
side of that line, so file:line is printed for anything you want to check.

  Strings checked ....... 219
  From your source ...... 113
  Written by me ......... 106

HIGGSFIELD SPEND ON THIS PROJECT
------------------------------------------------------------------------------
  Cinematic Studio 3.0    VIDEO      7 calls    205 cr
  Nano Banana Pro         image     59 calls    118 cr
  MiniMax H3              VIDEO      8 calls     84 cr
  Cinematic Studio 2.5    VIDEO     18 calls     36 cr
                                    92 calls    443 cr

  Video = 33 calls, 325 credits, 73% of total. Your rule was images yes,
  video never without running the prompt past you first.


==============================================================================
GLOBAL MOTION LAYER   [00-motion.html]   1 yours / 1 mine
==============================================================================
 MINE    4  The Pilot's Son
YOURS   10  The drop

==============================================================================
HERO   [01-hero.html]   14 yours / 9 mine
==============================================================================
 MINE    1  Skip to the drop
 MINE    6  The Pilot's Son
 MINE    6  Apparel Co. · Est. 1974
YOURS    9  The Drop
YOURS    9  Gear
 MINE    9  Colourways
YOURS    9  Craft
 MINE   59  Drop 01 · Limited run · 19 pieces
 MINE   60  Born to fly.
 MINE   60  Built to lead.
 MINE   62  Fly boy mentality. All-over-print heavyweight fleece, printed edge to edge — you don’t wear it to blend in.
YOURS   63  Enter the drop
YOURS   69  Abduction
YOURS   71  Cyber Geisha
YOURS   73  Chrome Autobot
YOURS   75  Chibi Medusa
YOURS   77  Phoenix Rising
YOURS   79  Varsity Jacket
YOURS   86  Est.
YOURS   87  Drop 01
YOURS   87  19 pieces
YOURS   88  From
 MINE   89  Drop closes in

==============================================================================
THE LINEUP BOARD   [015-board.html]   3 yours / 7 mine
==============================================================================
 MINE    3  Drop 01 · the lineup
 MINE    4  The lineup
 MINE    5  Nineteen pieces. Every one of them a statement. Pick a row.
 MINE   10  Sort
 MINE   11  Drop order
YOURS   12  Price
 MINE   15  pieces in Drop 01
YOURS   21  Piece
 MINE   22  The word
YOURS   23  Sizes

==============================================================================
THE DROP (19 PIECES)   [02-drop.html]   29 yours / 26 mine
==============================================================================
YOURS    3  Collection 01
YOURS    3  Limited run
YOURS    3  19 pieces
YOURS    4  Wear the
YOURS    4  legend
 MINE    6  Nineteen pieces, printed edge to edge. Front and back, no blank panels.
YOURS    8  Pieces
YOURS    9  From
 MINE   18  PIECES · ALL SIZES S–3XL
 MINE   19  Scroll to advance
YOURS   24  Signature
 MINE   24  360°
YOURS   27  Quick view
YOURS   30  Abduction
 MINE   31  Taken upward. The oldest way to leave the ground.
 MINE   34  Size guide
